src_deg,dst_deg,src_vol,dst_vol,src_pr,dst_pr,katz,maxflow,shortpaths,tag,aff,propflow,sp,pa,label,id1,id2
10.0,1.0,62.0,4.0,0.000161366,3.45327e-05,6.28125e-10,4.0,1.0,0.0,0.164181,4.69925e-05,9.0,10.0,1.0,945.0,1616303.0
4.0,1.0,5.0,1.0,8.77218e-05,4.35996e-05,6.34375e-10,1.0,1.0,0.289427,0.240192,0.00372024,9.0,4.0,1.0,3349.0,1456549.0
3.0,3.0,4.0,6.0,5.88159e-05,5.5768e-05,6.46875e-10,4.0,3.0,0.259928,0.0898389,0.000285295,9.0,9.0,1.0,4045.0,133204.0
3.0,12.0,4.0,36.0,5.88159e-05,0.000184572,6.9375e-10,4.0,9.0,0.0,0.155259,0.00058994,10.0,36.0,1.0,4045.0,1364808.0
1.0,4.0,1.0,5.0,5.06791e-05,7.7477e-05,6.34375e-10,1.0,4.0,0.196386,0.0,0.00675,9.0,4.0,1.0,6641.0,841882.0
18.0,5.0,43.0,5.0,0.000380623,8.48575e-05,1.93125e-09,5.0,5.0,0.525646,0.185027,3.39972e-05,11.0,90.0,1.0,10798.0,1594539.0
1.0,5.0,8.0,5.0,5.17079e-05,0.00010003,6.28125e-10,2.0,1.0,0.879012,0.230461,0.00854701,9.0,5.0,1.0,10937.0,1074438.0
4.0,6.0,14.0,16.0,7.8529e-05,0.000122905,1.31563e-09,14.0,6.0,0.0410305,0.213201,0.00204569,9.0,24.0,1.0,12713.0,1090761.0
3.0,15.0,5.0,30.0,7.64517e-05,0.00022814,6.71875e-10,5.0,3.0,0.0,0.146463,0.000283836,10.0,45.0,1.0,13956.0,459840.0
9.0,3.0,15.0,3.0,0.000145117,6.22324e-05,1.30625e-09,3.0,2.0,0.14377,0.194089,0.00118808,9.0,27.0,1.0,16029.0,618482.0
13.0,3.0,29.0,4.0,0.000215427,9.06574e-05,6.4375e-10,4.0,3.0,0.254164,0.0,0.000270107,11.0,39.0,1.0,20484.0,1653268.0
9.0,8.0,13.0,29.0,0.000175436,0.000121114,1.34063e-09,9.0,7.0,0.858643,0.208696,0.000246334,11.0,72.0,1.0,24007.0,638750.0
9.0,1.0,13.0,2.0,0.000175436,3.95241e-05,6.4375e-10,2.0,1.0,0.109029,0.253966,7.87003e-05,11.0,9.0,1.0,24007.0,1684085.0
3.0,26.0,3.0,29.0,7.15773e-05,0.000322317,6.53125e-10,3.0,3.0,0.455647,0.365148,0.000362077,10.0,78.0,1.0,24071.0,315870.0
3.0,1.0,5.0,1.0,7.39605e-05,3.49431e-05,6.59375e-10,1.0,1.0,0.222375,0.208514,0.000825019,9.0,3.0,1.0,24186.0,495809.0
3.0,16.0,8.0,23.0,6.44936e-05,0.000288764,2.59687e-09,8.0,7.0,0.292571,0.736065,0.00412938,10.0,48.0,1.0,24454.0,552523.0
3.0,6.0,5.0,8.0,6.22558e-05,0.000104628,6.78125e-10,5.0,5.0,0.36425,0.172292,0.00118284,9.0,18.0,1.0,24518.0,1448009.0
4.0,9.0,5.0,25.0,8.10596e-05,0.000174917,1.93438e-09,5.0,3.0,0.03849,0.524142,0.00218743,10.0,36.0,1.0,25468.0,273782.0
11.0,9.0,27.0,25.0,0.000194401,0.000163006,6.625e-10,25.0,5.0,0.840418,0.24767,7.85075e-05,11.0,99.0,1.0,26882.0,1047909.0
8.0,5.0,33.0,18.0,0.000190523,0.00011883,6.46875e-10,6.0,1.0,0.0105176,0.308607,0.00110026,11.0,40.0,1.0,28551.0,690441.0
1.0,4.0,1.0,7.0,3.27462e-05,0.00011388,6.28125e-10,1.0,2.0,0.080904,0.0496904,0.00246212,9.0,4.0,1.0,30627.0,862669.0
1.0,2.0,1.0,3.0,3.27462e-05,6.14095e-05,6.28125e-10,1.0,1.0,0.0,0.0727393,0.00906863,9.0,2.0,1.0,30627.0,44955.0
7.0,4.0,26.0,6.0,0.00016798,0.000100057,2.58125e-09,5.0,4.0,0.438354,0.286897,0.00460424,9.0,28.0,1.0,32885.0,221254.0
9.0,19.0,18.0,58.0,0.000142925,0.000355519,4.60313e-09,18.0,9.0,0.219649,0.0821995,0.000716891,10.0,171.0,1.0,32894.0,1195765.0
9.0,6.0,18.0,18.0,0.000142925,0.000110371,1.36875e-09,18.0,3.0,0.234283,0.0984798,0.000205838,9.0,54.0,1.0,32894.0,1617575.0
11.0,1.0,29.0,1.0,0.000201215,3.87117e-05,6.53125e-10,1.0,1.0,0.8067,0.373173,0.000241394,11.0,11.0,1.0,33050.0,1602794.0
4.0,1.0,4.0,2.0,7.95831e-05,3.55183e-05,6.4375e-10,2.0,1.0,0.0279508,0.38236,0.000625,9.0,4.0,1.0,34353.0,332326.0
1.0,5.0,5.0,18.0,3.23308e-05,8.79654e-05,1.94375e-09,5.0,5.0,0.270983,0.0,0.000263729,9.0,5.0,1.0,35284.0,458793.0
5.0,8.0,13.0,23.0,0.000108173,0.000136062,3.3375e-09,7.0,5.0,0.818317,0.35465,0.000212288,9.0,40.0,1.0,38081.0,1500389.0
11.0,24.0,31.0,75.0,0.0001433,0.000357049,4.18438e-09,10.0,16.0,0.0,0.422116,0.00024667,10.0,264.0,1.0,38572.0,561278.0
9.0,24.0,24.0,75.0,0.000114625,0.000357049,1.45625e-09,10.0,14.0,0.0,0.0,0.000167751,10.0,216.0,1.0,39104.0,561278.0
6.0,3.0,6.0,3.0,9.66159e-05,6.22324e-05,1.30625e-09,3.0,2.0,0.221999,0.0411693,0.00171882,9.0,18.0,1.0,39149.0,618482.0
4.0,7.0,7.0,12.0,6.92643e-05,0.000125661,1.97813e-09,7.0,5.0,0.20498,0.318357,0.00039411,9.0,28.0,1.0,39655.0,1531983.0
10.0,2.0,15.0,4.0,0.000169151,5.41839e-05,7.10938e-09,4.0,2.0,0.136386,0.0642824,0.00295386,9.0,20.0,1.0,40928.0,150924.0
11.0,4.0,25.0,5.0,0.00022417,8.04358e-05,1.34063e-09,5.0,3.0,0.0,0.180363,0.000418932,11.0,44.0,1.0,41797.0,141621.0
4.0,1.0,6.0,1.0,7.78686e-05,3.41664e-05,6.46875e-10,1.0,1.0,0.654224,0.0,0.000476933,9.0,4.0,1.0,42322.0,1614494.0
4.0,4.0,6.0,6.0,7.78686e-05,9.02804e-05,2.62188e-09,6.0,3.0,0.609826,0.371476,0.000785422,9.0,16.0,1.0,42322.0,268420.0
5.0,4.0,7.0,11.0,9.68752e-05,7.18809e-05,5.3e-09,7.0,4.0,0.207368,0.731126,0.00191536,9.0,20.0,1.0,42673.0,1364812.0
3.0,18.0,4.0,65.0,9.92635e-05,0.00031886,6.375e-10,1.0,1.0,0.879192,0.301207,0.000340136,10.0,54.0,1.0,45389.0,1702515.0
4.0,5.0,4.0,8.0,7.29452e-05,0.00012783,1.33125e-09,4.0,2.0,0.226348,0.0,0.000580936,9.0,20.0,1.0,47672.0,1479962.0
16.0,1.0,28.0,2.0,0.000211511,5.58224e-05,6.46875e-10,1.0,1.0,0.0,0.140028,0.000399608,11.0,16.0,1.0,48095.0,1354882.0
2.0,2.0,4.0,10.0,6.98841e-05,0.000107245,6.34375e-10,1.0,1.0,0.326464,0.372104,0.00462963,9.0,4.0,1.0,49091.0,1415426.0
16.0,19.0,96.0,63.0,0.000270496,0.000293238,1.41563e-09,50.0,10.0,0.367206,0.0479739,0.000116106,12.0,304.0,1.0,50416.0,257414.0
4.0,8.0,8.0,18.0,8.94772e-05,0.000121302,6.5625e-10,4.0,6.0,0.020016,0.477697,0.000264833,9.0,32.0,1.0,50873.0,465045.0
4.0,12.0,8.0,36.0,8.94772e-05,0.000184572,1.30937e-09,4.0,8.0,0.0,0.255655,0.000518617,10.0,48.0,1.0,50873.0,1364808.0
17.0,4.0,61.0,7.0,0.000327145,0.000114855,6.3125e-10,7.0,2.0,0.116505,0.354626,0.000136166,11.0,68.0,1.0,51980.0,1121874.0
1.0,24.0,1.0,37.0,3.37946e-05,0.000382215,1.2875e-09,1.0,6.0,0.0,0.266519,0.000982684,10.0,24.0,1.0,52213.0,779043.0
5.0,9.0,11.0,19.0,8.47424e-05,0.000166774,7.53125e-10,11.0,3.0,0.827449,0.0665558,0.000146285,9.0,45.0,1.0,56684.0,431088.0
7.0,5.0,11.0,5.0,0.000152498,8.31496e-05,1.3125e-09,5.0,3.0,0.0771095,0.0616334,0.000396882,9.0,35.0,1.0,56889.0,1407412.0
6.0,25.0,15.0,73.0,9.75094e-05,0.000405275,6.625e-10,15.0,6.0,0.893819,0.0913979,0.000446356,10.0,150.0,1.0,58216.0,1618625.0
6.0,6.0,15.0,25.0,9.75094e-05,0.000129331,1.34688e-09,5.0,4.0,0.0,0.207551,0.000141291,9.0,36.0,1.0,58216.0,1522794.0
6.0,11.0,15.0,12.0,9.75094e-05,0.000183693,1.35625e-09,12.0,8.0,0.853564,0.0562544,0.000435293,10.0,66.0,1.0,58216.0,1076196.0
10.0,23.0,33.0,46.0,0.000135875,0.000352612,1.36875e-09,32.0,8.0,0.0768852,0.0973009,0.00136924,10.0,230.0,1.0,58542.0,1316505.0
5.0,15.0,13.0,34.0,0.000114573,0.000271336,1.95938e-09,13.0,10.0,0.00855482,0.111499,0.00104587,10.0,75.0,1.0,58974.0,804514.0
5.0,4.0,13.0,14.0,0.000114573,8.3119e-05,1.27813e-09,13.0,4.0,0.165295,0.117254,0.00113594,9.0,20.0,1.0,58974.0,118041.0
5.0,2.0,13.0,4.0,0.000114573,4.89857e-05,6.375e-10,4.0,2.0,0.229961,0.0493464,0.000636999,9.0,10.0,1.0,58974.0,1241873.0
5.0,9.0,13.0,15.0,0.000114573,0.000147998,1.29688e-09,13.0,5.0,0.0,0.150756,0.00157945,9.0,45.0,1.0,58974.0,1063985.0
11.0,2.0,35.0,9.0,0.000155148,8.1831e-05,7.09375e-10,2.0,1.0,0.569006,0.0687614,0.000652127,9.0,22.0,1.0,59625.0,82829.0
5.0,3.0,6.0,3.0,0.000102108,6.43591e-05,1.29063e-09,3.0,3.0,0.15875,0.219382,0.00108029,9.0,15.0,1.0,60470.0,277298.0
7.0,3.0,8.0,16.0,0.000124859,5.19904e-05,2.69688e-09,8.0,3.0,0.760424,0.137043,9.6328e-05,9.0,21.0,1.0,61284.0,459021.0
6.0,2.0,6.0,3.0,0.000106336,6.12654e-05,1.2625e-09,3.0,1.0,0.0884652,0.76175,0.000666667,9.0,12.0,1.0,61532.0,897407.0
6.0,9.0,6.0,14.0,0.000106336,0.000152423,2.625e-09,6.0,6.0,0.0,0.0,0.00175322,9.0,54.0,1.0,61532.0,516162.0
6.0,14.0,15.0,75.0,0.000125475,0.000281845,6.375e-10,14.0,1.0,0.0,0.163856,0.000913358,10.0,84.0,1.0,61775.0,1592067.0
4.0,3.0,5.0,3.0,9.85834e-05,6.99902e-05,6.34375e-10,3.0,2.0,0.0728478,0.322458,0.00208369,9.0,12.0,1.0,61846.0,128635.0
4.0,4.0,5.0,7.0,9.85834e-05,6.41866e-05,6.40625e-10,4.0,2.0,0.127241,0.321156,0.000113365,9.0,16.0,1.0,61846.0,1354213.0
5.0,15.0,13.0,34.0,0.000107737,0.000271336,2.00313e-09,13.0,9.0,0.0126269,0.0494166,0.00128253,10.0,75.0,1.0,62907.0,804514.0
5.0,4.0,13.0,14.0,0.000107737,8.3119e-05,1.29375e-09,13.0,4.0,0.0731925,0.0890871,0.00119369,9.0,20.0,1.0,62907.0,118041.0
6.0,4.0,8.0,9.0,0.000126027,9.13526e-05,1.28125e-09,8.0,1.0,0.054153,0.0,0.000317424,9.0,24.0,1.0,63668.0,554007.0
6.0,9.0,8.0,14.0,0.000126027,0.000155603,1.325e-09,8.0,3.0,0.844682,0.137584,0.000114684,9.0,54.0,1.0,63668.0,903852.0
26.0,9.0,38.0,13.0,0.000346352,0.000150529,1.44063e-09,13.0,9.0,0.0,0.526965,4.04795e-05,11.0,234.0,1.0,67279.0,1027540.0
4.0,10.0,4.0,33.0,0.000106524,0.000220808,1.28125e-09,3.0,3.0,0.210214,0.0704645,0.00115167,10.0,40.0,1.0,68093.0,1650436.0
2.0,6.0,13.0,6.0,7.60759e-05,0.000103719,6.59375e-10,6.0,6.0,0.0316122,0.0,0.0011368,9.0,12.0,1.0,68688.0,432935.0
2.0,7.0,13.0,22.0,7.60759e-05,0.000130166,6.46875e-10,9.0,2.0,0.108095,0.0514617,0.000716076,9.0,14.0,1.0,68688.0,1372997.0
2.0,6.0,13.0,6.0,7.60759e-05,0.000103719,6.59375e-10,6.0,6.0,0.123247,0.0,0.00105624,9.0,12.0,1.0,68688.0,1493942.0
8.0,3.0,13.0,8.0,0.000145499,6.9313e-05,2.62188e-09,8.0,3.0,0.0,0.249402,0.000388342,9.0,24.0,1.0,68962.0,892685.0
2.0,3.0,2.0,7.0,5.63028e-05,6.23802e-05,6.46875e-10,2.0,3.0,0.404145,0.0,0.000390848,9.0,6.0,1.0,69637.0,142346.0
2.0,13.0,2.0,61.0,5.63028e-05,0.000235326,6.59375e-10,2.0,4.0,0.266312,0.0,0.0002293,10.0,26.0,1.0,69637.0,1598327.0
4.0,2.0,5.0,2.0,9.46532e-05,4.97472e-05,6.53125e-10,2.0,2.0,0.833032,0.0,0.000455236,9.0,8.0,1.0,69654.0,1319895.0
6.0,2.0,10.0,4.0,0.000124524,5.67021e-05,6.4375e-10,4.0,2.0,0.0,0.715128,0.000911833,9.0,12.0,1.0,70009.0,636217.0
2.0,7.0,2.0,12.0,5.99295e-05,0.000137015,6.34375e-10,2.0,2.0,0.514496,0.119122,0.0055,9.0,14.0,1.0,72176.0,877805.0
7.0,24.0,13.0,37.0,0.000107077,0.000382215,3.425e-09,13.0,15.0,0.0,0.367112,0.00142419,10.0,168.0,1.0,72514.0,779043.0
10.0,2.0,37.0,2.0,0.000191815,4.95071e-05,6.40625e-10,2.0,2.0,0.0,0.459131,0.000210203,11.0,20.0,1.0,73109.0,1009368.0
4.0,2.0,5.0,10.0,6.93091e-05,6.20803e-05,6.4375e-10,2.0,2.0,0.328675,0.0753778,0.000472359,9.0,8.0,1.0,73541.0,1224840.0
4.0,2.0,5.0,10.0,6.93091e-05,6.20803e-05,6.4375e-10,2.0,2.0,0.339422,0.0805823,0.000404879,9.0,8.0,1.0,73541.0,1516076.0
4.0,3.0,5.0,5.0,8.2441e-05,7.26965e-05,1.26875e-09,5.0,3.0,0.426287,0.212132,0.00123512,9.0,12.0,1.0,74039.0,1626234.0
4.0,7.0,5.0,22.0,8.2441e-05,0.000152134,1.2875e-09,5.0,5.0,0.853231,0.44294,0.00187166,9.0,28.0,1.0,74039.0,1145811.0
8.0,4.0,34.0,12.0,0.000165108,7.92463e-05,1.30937e-09,12.0,4.0,0.0,0.241747,0.00386573,9.0,32.0,1.0,74060.0,582113.0
1.0,3.0,1.0,5.0,4.81774e-05,0.000131272,6.28125e-10,1.0,2.0,0.44656,0.182743,0.0416667,9.0,3.0,1.0,74102.0,1584702.0
7.0,10.0,14.0,13.0,0.000122937,0.000185458,2.62813e-09,11.0,6.0,0.27697,0.747042,0.00053531,10.0,70.0,1.0,78883.0,535473.0
9.0,3.0,27.0,4.0,0.000169732,7.54404e-05,1.3375e-09,4.0,3.0,0.390774,0.273115,0.000481285,9.0,27.0,1.0,79160.0,1285542.0
6.0,8.0,16.0,20.0,0.000109035,0.000149771,1.97813e-09,16.0,5.0,0.14394,0.196554,0.000361023,9.0,48.0,1.0,80412.0,582115.0
8.0,26.0,33.0,29.0,0.000162622,0.000322317,2.84063e-09,17.0,21.0,0.0,0.218218,0.000288457,10.0,208.0,1.0,80796.0,315870.0
3.0,6.0,3.0,8.0,5.75706e-05,0.000103719,3.3e-09,3.0,6.0,0.434428,0.186501,0.000981487,9.0,18.0,1.0,80911.0,1236761.0
8.0,3.0,12.0,10.0,0.000140337,7.8306e-05,3.90938e-09,4.0,3.0,0.392349,0.181467,0.00254894,9.0,24.0,1.0,81431.0,1611509.0
1.0,3.0,1.0,3.0,3.73543e-05,7.39335e-05,1.26563e-09,1.0,1.0,0.0,0.250873,0.00388889,9.0,3.0,1.0,82602.0,261654.0
1.0,8.0,1.0,12.0,3.73543e-05,0.000140261,6.59375e-10,1.0,6.0,0.0,0.0877058,0.00306122,9.0,8.0,1.0,82602.0,1678795.0
1.0,10.0,1.0,22.0,3.73543e-05,0.000174723,6.46875e-10,1.0,5.0,0.0,0.301941,0.0250685,10.0,10.0,1.0,82602.0,1322351.0
2.0,5.0,9.0,12.0,8.1831e-05,9.57933e-05,6.6875e-10,2.0,2.0,0.601798,0.0,0.0016975,9.0,10.0,1.0,82829.0,587619.0
3.0,26.0,3.0,28.0,8.64173e-05,0.000339898,7.1875e-10,3.0,21.0,0.218749,0.027032,0.000547381,10.0,78.0,1.0,83701.0,823463.0
4.0,6.0,7.0,13.0,0.000105741,0.000114205,1.2875e-09,3.0,3.0,0.0,0.123306,0.00371212,9.0,24.0,1.0,85855.0,1396611.0
8.0,7.0,30.0,14.0,0.000131646,0.000121824,6.96875e-10,14.0,4.0,0.514851,0.0,0.000216418,9.0,56.0,1.0,85974.0,585511.0
5.0,6.0,6.0,11.0,8.64368e-05,0.000102773,6.5625e-10,6.0,3.0,0.1409,0.375046,5.54595e-05,9.0,30.0,1.0,86210.0,1128705.0
3.0,5.0,9.0,11.0,6.27393e-05,0.000108205,6.5e-10,9.0,2.0,0.0709997,0.0,0.000897436,9.0,15.0,1.0,88775.0,565423.0
